id;type_vehicule;marque;modele;usage;typecarburant;matricule;matriculeww;n_chassi;capacite;division;puissancefiscal;datemiscirculation;dateacquisition;affectationdivision;affectation_service;beneficiaire;kilometrage;piece_jointe;piece_jointe_content_type;status
1;Legacy Solomon Islands Dollar Credit Card Account;Small Hat Principal;Investment Account exploit Soft;Hill Practical Montserrat;USB Checking Account;HDD;20028;77020;97358;synergize bandwidth Money Market Account;9229;2021-06-21;2021-06-21;96011;76813;82292;24540;../fake-data/blob/hipster.png;image/png;Borders
2;black generating;Ireland Electronics Intelligent;AGP Qatari Rial;JSON Legacy Investment Account;unleash Kwanza Senior;Functionality;13846;31878;66243;policy mobile Dynamic;31703;2021-06-20;2021-06-20;36874;40044;26683;18604;../fake-data/blob/hipster.png;image/png;Rustic Functionality synergistic
3;Shirt;Decentralized multi-byte Internal;functionalities;calculate;synergistic mint green;infomediaries;53243;32602;58570;Steel;65940;2021-06-21;2021-06-21;13982;26978;5858;32453;../fake-data/blob/hipster.png;image/png;Chicken
4;Optimized Up-sized convergence;instruction set;Berkshire Persevering Handmade Metal Salad;Chips hacking;sexy;red wireless;68940;88151;17941;Gloves invoice;88447;2021-06-21;2021-06-20;85337;97649;12280;44690;../fake-data/blob/hipster.png;image/png;Mount
5;Central e-tailers;Checking Account Chicken Technician;human-resource;Oklahoma Functionality;Isle Hollow;Marketing Finland;70228;94543;36765;Supervisor cross-platform Money Market Account;43170;2021-06-21;2021-06-21;65109;51563;53529;94855;../fake-data/blob/hipster.png;image/png;Intelligent Michigan Handcrafted Concrete Bacon
6;Stravenue Assistant pixel;input Plain reboot;Saint Barthelemy Lock copy;Japan;CSS Branding;payment Handcrafted;82968;52743;41973;input hard drive Product;48658;2021-06-20;2021-06-20;51828;13923;29370;18170;../fake-data/blob/hipster.png;image/png;Kina Berkshire
7;Bypass hard drive Kids;Multi-channelled;New York;bypassing calculating Serbian Dinar;Organic;Secured conglomeration;5972;56867;43589;white Chad;31057;2021-06-21;2021-06-21;77605;35004;57728;66626;../fake-data/blob/hipster.png;image/png;Won Ethiopia
8;website Small Mobility;Wooden Berkshire;Shirt grey;best-of-breed;Cheese;migration Latvia;45880;22187;44690;Facilitator communities Customer;33696;2021-06-21;2021-06-20;34107;57904;66852;6586;../fake-data/blob/hipster.png;image/png;Heard Island and McDonald Islands hacking
9;Alaska SDD Compatible;California;application Money Market Account;RSS Movies black;infrastructures Soap;product;1044;53985;32135;mission-critical Money Market Account metrics;49445;2021-06-20;2021-06-21;27840;52426;83176;93342;../fake-data/blob/hipster.png;image/png;XSS Prairie Belgium
10;Senior;Refined Concrete Bacon;compressing Home Loan Account;Common generate Borders;Designer Phased South Carolina;synthesize;16502;7505;58338;payment virtual reboot;94325;2021-06-21;2021-06-21;67070;62070;72237;28102;../fake-data/blob/hipster.png;image/png;SCSI Granite
